t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
5.370000000000000329e-01,2.524369383442469639e-01,4.906791854769020911e-01,3.828455845256850121e-01,3.175184265419206895e+02,-1.461745500546714593e+00,-8.426053363445743116e+01,-1.461745500546714593e+00,1.832729179299768987e+02,1.419235753180479094e+02,-8.426053363445743116e+01,1.419235753180479094e+02,-3.068095646793279343e+02,-3.811833861961821945e+00,-1.363579397813755367e+00,2.584145846292899673e+00,-1.363579397813755367e+00,-6.761912527385874228e+00,-8.317997072826219807e-01,2.584145846292899673e+00,-8.317997072826219807e-01,-4.633340280274389045e+00
5.380000000000000338e-01,2.516445768868795230e-01,4.911761618185714329e-01,3.826540207823090345e-01,3.184009315367945874e+02,-1.527038512607688414e+00,-8.434269624364404194e+01,-1.527038512607688414e+00,1.836934918392039719e+02,1.422327767853743694e+02,-8.434269624364404194e+01,1.422327767853743694e+02,-3.072952129066370048e+02,-3.899460887709373935e+00,-1.422839118198512720e+00,2.661623462229938397e+00,-1.422839118198512720e+00,-6.946079958885776229e+00,-8.467202797629750366e-01,2.661623462229938397e+00,-8.467202797629750366e-01,-4.843104754260889599e+00
5.390000000000000346e-01,2.508518763793415873e-01,4.916753259106115270e-01,3.824720623103842199e-01,3.192922207638213763e+02,-1.594484270799336301e+00,-8.442334577508911764e+01,-1.594484270799336301e+00,1.841162161054259911e+02,1.425435510226663780e+02,-8.442334577508911764e+01,1.425435510226663780e+02,-3.077798913817140942e+02,-3.984406397082333129e+00,-1.482852844407278381e+00,2.738668542800565930e+00,-1.482852844407278381e+00,-7.129087332201509142e+00,-8.610953775884012673e-01,2.738668542800565930e+00,-8.610953775884012673e-01,-5.056008701495112945e+00
5.400000000000000355e-01,2.500588279355980270e-01,4.921765366548076504e-01,3.823001785541934039e-01,3.201923161883994453e+02,-1.664084957271872778e+00,-8.450254072298191943e+01,-1.664084957271872778e+00,1.845410819332244046e+02,1.428559140832837215e+02,-8.450254072298191943e+01,1.428559140832837215e+02,-3.082636718406969862e+02,-4.066658430212489073e+00,-1.543583103030397030e+00,2.815226081231346100e+00,-1.543583103030397030e+00,-7.310955348176056745e+00,-8.749202440632787292e-01,2.815226081231346100e+00,-8.749202440632787292e-01,-5.272045147999375736e+00
5.410000000000000364e-01,2.492654123935320598e-01,4.926796481319796750e-01,3.821388607841327278e-01,3.211012376864239286e+02,-1.735841223394693378e+00,-8.458034096243615352e+01,-1.735841223394693378e+00,1.849680799024612838e+02,1.431698816610590370e+02,-8.458034096243615352e+01,1.431698816610590370e+02,-3.087466250351036479e+02,-4.146207349032784428e+00,-1.604992224268211531e+00,2.891242397740273251e+00,-1.604992224268211531e+00,-7.491705224830832677e+00,-8.881907345089486983e-01,2.891242397740273251e+00,-8.881907345089486983e-01,-5.491205708793885698e+00
5.420000000000000373e-01,2.484716003835200637e-01,4.931845095983457550e-01,3.819886230925809700e-01,3.220190029890919163e+02,-1.809752213005085153e+00,-8.465680764512443091e+01,-1.809752213005085153e+00,1.853971999697601802e+02,1.434854690711319165e+02,-8.465680764512443091e+01,1.434854690711319165e+02,-3.092288206600195508e+02,-4.223045821347223949e+00,-1.667042377795980634e+00,2.966665173201743055e+00,-1.667042377795980634e+00,-7.671358678296105182e+00,-9.009033090814738687e-01,2.966665173201743055e+00,-9.009033090814738687e-01,-5.713480600631407391e+00
5.430000000000000382e-01,2.476773524214662681e-01,4.936909654901194267e-01,3.818500034081229733e-01,3.229456276317253014e+02,-1.885815587985826935e+00,-8.473200309468155922e+01,-1.885815587985826935e+00,1.858284314716232757e+02,1.438026912315731636e+02,-8.473200309468155922e+01,1.438026912315731636e+02,-3.097103272839696615e+02,-4.297168801732735410e+00,-1.729695608605605006e+00,3.041443480326330384e+00,-1.729695608605605006e+00,-7.849937903047313981e+00,-9.130550254982972014e-01,3.041443480326330384e+00,-9.130550254982972014e-01,-5.938858653831361245e+00
5.440000000000000391e-01,2.468826190256423470e-01,4.941988554358848207e-01,3.817235645295634638e-01,3.238811249067329072e+02,-1.964027556089860349e+00,-8.480599070212420543e+01,-1.964027556089860349e+00,1.862617631291787745e+02,1.441215626458041470e+02,-8.480599070212420543e+01,1.441215626458041470e+02,-3.101912122804779983e+02,-4.368573509351462825e+00,-1.792913872779181794e+00,3.115527812358132032e+00,-1.792913872779181794e+00,-8.027465551488010220e+00,-9.246435316864983767e-01,3.115527812358132032e+00,-9.246435316864983767e-01,-6.167327323238033010e+00
5.450000000000000400e-01,2.460873408565665554e-01,4.947080142761566823e-01,3.816098951813384765e-01,3.248255058208161472e+02,-2.044382900926076996e+00,-8.487883482152733450e+01,-2.044382900926076996e+00,1.866971830545458317e+02,1.444420973858147192e+02,-8.487883482152733450e+01,1.444420973858147192e+02,-3.106715417613166892e+02,-4.437259402757455007e+00,-1.856659073149728112e+00,3.188870109297392563e+00,-1.856659073149728112e+00,-8.203964712922148905e+00,-9.356670583643816874e-01,3.188870109297392563e+00,-9.356670583643816874e-01,-6.398872698333254228e+00
5.460000000000000409e-01,2.452914488790473579e-01,4.952182720894103829e-01,3.815096110921341044e-01,3.257787790565102455e+02,-2.126875014016450738e+00,-8.495060066619123518e+01,-2.126875014016450738e+00,1.871346787587999074e+02,1.447643090761815756e+02,-8.495060066619123518e+01,1.447643090761815756e+02,-3.111513805114515776e+02,-4.503228151787002531e+00,-1.920893094804774215e+00,3.261423781661011656e+00,-1.920893094804774215e+00,-8.379458891959856714e+00,-9.461244115671305632e-01,3.261423781661011656e+00,-9.461244115671305632e-01,-6.633479512539824263e+00
5.470000000000000417e-01,2.444948645454049219e-01,4.957294542237299373e-01,3.814233560987128624e-01,3.267409509381343469e+02,-2.211495928831210822e+00,-8.502135420552373546e+01,-2.211495928831210822e+00,1.875742371615154980e+02,1.450882108788868265e+02,-8.502135420552373546e+01,1.450882108788868265e+02,-3.116307919256894365e+02,-4.566483606626563940e+00,-1.985577840388867754e+00,3.333143731797999276e+00,-1.985577840388867754e+00,-8.553971986402030936e+00,-9.560149651263011306e-01,3.333143731797999276e+00,-9.560149651263011306e-01,-6.871131151756890709e+00
5.480000000000000426e-01,2.436974999987908674e-01,4.962413813330964207e-01,3.813518032771473498e-01,3.277120254022120776e+02,-2.298236356705547490e+00,-8.509116206285479223e+01,-2.298236356705547490e+00,1.880158446018588450e+02,1.454138154789363568e+02,-8.509116206285479223e+01,1.454138154789363568e+02,-3.121098379470361124e+02,-4.627031764156979143e+00,-2.050675265161589156e+00,3.403986372781538705e+00,-2.050675265161589156e+00,-8.727528264650530332e+00,-9.653386531119761971e-01,3.403986372781538705e+00,-9.653386531119761971e-01,-7.111809662173852686e+00
5.490000000000000435e-01,2.428992582954235258e-01,4.967538694172243807e-01,3.812956561038616243e-01,3.286920039724062690e+02,-2.387085724538452247e+00,-8.516009141439110408e+01,-2.387085724538452247e+00,1.884594868511972834e+02,1.457411350707755560e+02,-8.516009141439110408e+01,1.457411350707755560e+02,-3.125885790067773655e+02,-4.684880731676675403e+00,-2.116147411768095843e+00,3.473909644903437233e+00,-2.116147411768095843e+00,-8.900152342691743712e+00,-9.740959622455193090e-01,3.473909644903437233e+00,-9.740959622455193090e-01,-7.355495757413766711e+00
5.500000000000000444e-01,2.421000336444688594e-01,4.972667298637182820e-01,3.812556496490795421e-01,3.296808857389984837e+02,-2.478032214171710379e+00,-8.522820988950941512e+01,-2.478032214171710379e+00,1.889051491271877978e+02,1.460701813454986393e+02,-8.522820988950941512e+01,1.460701813454986393e+02,-3.130670739662936626e+02,-4.740040688110615186e+00,-2.181956444679909346e+00,3.542873029800893470e+00,-2.181956444679909346e+00,-9.071869160702037860e+00,-9.822879242898697738e-01,3.542873029800893470e+00,-9.822879242898697738e-01,-7.602168825061921709e+00
5.510000000000000453e-01,2.412997116642056072e-01,4.977797694912237669e-01,3.812325518054952567e-01,3.306786673429279517e+02,-2.571062803344811964e+00,-8.529558547257725820e+01,-2.571062803344811964e+00,1.893528161093027222e+02,1.464009654788476382e+02,-8.529558547257725820e+01,1.464009654788476382e+02,-3.135453800606259165e+02,-4.792523842815121782e+00,-2.248064684264207358e+00,3.610837562249268107e+00,-2.248064684264207358e+00,-9.242703959324714447e+00,-9.899161084235716945e-01,3.610837562249268107e+00,-9.899161084235716945e-01,-7.851806932638998759e+00
5.520000000000000462e-01,2.404981696512191180e-01,4.982927905903422050e-01,3.812271645551227328e-01,3.316853429643902018e+02,-2.666163308119605446e+00,-8.536228640648015187e+01,-2.666163308119605446e+00,1.898024719557452613e+02,1.467334981199946355e+02,-8.536228640648015187e+01,1.467334981199946355e+02,-3.140235528438093979e+02,-4.842344392092035044e+00,-2.314434640440656832e+00,3.677765839658298841e+00,-2.314434640440656832e+00,-9.412682255668293863e+00,-9.969826136037821529e-01,3.677765839658298841e+00,-9.969826136037821529e-01,-8.104386833082172004e+00
5.530000000000000471e-01,2.396952768690497892e-01,4.988055909685336631e-01,3.812403252777782359e-01,3.327009043159833368e+02,-2.763318426666892424e+00,-8.542838109802434587e+01,-2.763318426666892424e+00,1.902541003217054367e+02,1.470677893811022727e+02,-8.542838109802434587e+01,1.470677893811022727e+02,-3.145016461359969071e+02,-4.889518473528402964e+00,-2.381029045885539652e+00,3.743622029312533073e+00,-2.381029045885539652e+00,-9.581829819076830290e+00,-1.003490060922761939e+00,3.743622029312533073e+00,-1.003490060922761939e+00,-8.359883969800735670e+00
5.540000000000000480e-01,2.388908948416111067e-01,4.993179639845627404e-01,3.812729081042769419e-01,3.337253406403717690e+02,-2.862511784305850959e+00,-8.549393802537314002e+01,-2.862511784305850959e+00,1.907076843788996712e+02,1.474038488276536327e+02,-8.549393802537314002e+01,1.474038488276536327e+02,-3.149797119723926357e+02,-4.934064118280436340e+00,-2.447810888743771951e+00,3.808371873400075547e+00,-2.447810888743771951e+00,-9.750172646722841563e+00,-1.009441585961523336e+00,3.808371873400075547e+00,-1.009441585961523336e+00,-8.618272481375841565e+00
